power_output,radiation,time
0,0.3,1534712400.0
0,0.2,1534712700.0
0,0.3,1534713000.0
0,0.3,1534713300.0
0,0.2,1534713600.0
0,0.2,1534713900.0
0,0.2,1534714200.0
0,0.2,1534714500.0
0,0.2,1534714800.0
0,0.2,1534715100.0
0,0.2,1534715400.0
0,0.3,1534715700.0
0,0.2,1534716000.0
0,0.2,1534716300.0
0,0.3,1534716600.0
0,0.2,1534716900.0
0,0.2,1534717200.0
0,0.3,1534717500.0
0,0.3,1534717800.0
0,0.3,1534718100.0
0,0.2,1534718400.0
0,0.2,1534718700.0
0,0.2,1534719000.0
0,0.2,1534719300.0
0,0.1,1534719600.0
0,0.2,1534719900.0
0,0.1,1534720200.0
0,0.1,1534720500.0
0,0.1,1534720800.0
0,0.1,1534721100.0
0,0.1,1534721400.0
0,0.1,1534721700.0
0,0.1,1534722000.0
0,0.1,1534722300.0
0,0.0,1534722600.0
0,0.1,1534722900.0
0,0.1,1534723200.0
0,0.0,1534723500.0
0,0.0,1534723800.0
0,0.1,1534724100.0
0,0.0,1534724400.0
0,0.0,1534724700.0
0,0.0,1534725000.0
0,0.0,1534725300.0
0,0.1,1534725600.0
0,0.0,1534725900.0
0,0.0,1534726200.0
0,0.1,1534726500.0
0,0.0,1534726800.0
0,0.0,1534727100.0
0,0.1,1534727400.0
0,0.0,1534727700.0
0,0.0,1534728000.0
0,0.0,1534728300.0
0,0.1,1534728600.0
0,0.0,1534728900.0
0,0.1,1534729200.0
0,0.0,1534729500.0
0,0.1,1534729800.0
0,0.0,1534730100.0
0,0.1,1534730400.0
0,0.1,1534730700.0
0,0.0,1534731000.0
0,0.0,1534731300.0
0,0.0,1534731600.0
0,0.1,1534731900.0
0,0.0,1534732200.0
0,0.0,1534732500.0
0,0.0,1534732800.0
0,0.0,1534733100.0
0,0.0,1534733400.0
0,0.0,1534733700.0
0,0.2,1534734000.0
0,0.5,1534734300.0
1,0.7,1534734600.0
35,0.11,1534734900.0
186,0.15,1534735200.0
326,0.18,1534735500.0
458,0.21,1534735800.0
689,0.25,1534736100.0
983,0.28,1534736400.0
1305,0.32,1534736700.0
1675,0.55,1534737000.0
2128,0.89,1534737300.0
2738,1.6,1534737600.0
3284,1.2,1534737900.0
3818,1.35,1534738200.0
4418,1.51,1534738500.0
5078,1.68,1534738800.0
5699,1.84,1534739100.0
6351,2.3,1534739400.0
7032,2.21,1534739700.0
7758,2.39,1534740000.0
8522,2.6,1534740300.0
9287,2.78,1534740600.0
10100,2.98,1534740900.0
10879,3.16,1534741200.0
11703,3.38,1534741500.0
12490,3.56,1534741800.0
13326,3.76,1534742100.0
14165,3.96,1534742400.0
15010,4.18,1534742700.0
15905,4.41,1534743000.0
16698,4.61,1534743300.0
17520,4.81,1534743600.0
18256,5.1,1534743900.0
19042,5.25,1534744200.0
19757,5.38,1534744500.0
20463,5.57,1534744800.0
21143,5.74,1534745100.0
21791,5.9,1534745400.0
22560,6.15,1534745700.0
23357,6.34,1534746000.0
24095,6.56,1534746300.0
24834,6.81,1534746600.0
25556,6.97,1534746900.0
26206,7.15,1534747200.0
26768,7.27,1534747500.0
27349,7.47,1534747800.0
27972,7.68,1534748100.0
28499,7.83,1534748400.0
29056,7.94,1534748700.0
29667,8.14,1534749000.0
30206,8.32,1534749300.0
30790,8.45,1534749600.0
31245,8.64,1534749900.0
31927,8.83,1534750200.0
32608,8.98,1534750500.0
32970,9.13,1534750800.0
33532,9.31,1534751100.0
25129,1.86,1534751400.0
14500,4.56,1534751700.0
34814,9.66,1534752000.0
34476,9.39,1534752300.0
30511,7.38,1534752600.0
34371,10.17,1534752900.0
36866,10.81,1534753200.0
31817,9.13,1534753500.0
36082,10.37,1534753800.0
32558,9.66,1534754100.0
31531,9.21,1534754400.0
35528,10.47,1534754700.0
37410,10.74,1534755000.0
37885,10.98,1534755300.0
37204,9.78,1534755600.0
13940,2.25,1534755900.0
13579,4.74,1534756200.0
35076,11.2,1534756500.0
38680,10.76,1534756800.0
38076,10.77,1534757100.0
37698,10.72,1534757400.0
37430,10.74,1534757700.0
37746,11.2,1534758000.0
38080,11.7,1534758300.0
38096,10.86,1534758600.0
37519,10.74,1534758900.0
36965,10.62,1534759200.0
36523,10.54,1534759500.0
36536,10.62,1534759800.0
37135,10.74,1534760100.0
37056,10.61,1534760400.0
36751,10.41,1534760700.0
36102,10.29,1534761000.0
35814,10.26,1534761300.0
35674,10.17,1534761600.0
35324,10.0,1534761900.0
35168,9.98,1534762200.0
35097,9.91,1534762500.0
35003,9.81,1534762800.0
34857,9.71,1534763100.0
34456,9.57,1534763400.0
33950,9.44,1534763700.0
33738,9.34,1534764000.0
33336,9.18,1534764300.0
32999,9.2,1534764600.0
32531,8.88,1534764900.0
32270,8.84,1534765200.0
31929,8.66,1534765500.0
31523,8.56,1534765800.0
31181,8.47,1534766100.0
30664,8.24,1534766400.0
30318,8.13,1534766700.0
29834,7.95,1534767000.0
29341,7.87,1534767300.0
28797,7.7,1534767600.0
28260,7.54,1534767900.0
27692,7.42,1534768200.0
27230,7.3,1534768500.0
26704,7.14,1534768800.0
26042,7.2,1534769100.0
25709,6.87,1534769400.0
25089,6.77,1534769700.0
24441,6.52,1534770000.0
23762,6.35,1534770300.0
23019,6.2,1534770600.0
22416,5.95,1534770900.0
21680,5.78,1534771200.0
21075,5.68,1534771500.0
20488,5.53,1534771800.0
19884,5.33,1534772100.0
19176,5.13,1534772400.0
18490,4.88,1534772700.0
17707,4.64,1534773000.0
16842,4.39,1534773300.0
16037,4.2,1534773600.0
15283,3.99,1534773900.0
14678,3.81,1534774200.0
14080,3.58,1534774500.0
13249,3.38,1534774800.0
12420,3.16,1534775100.0
11619,3.0,1534775400.0
10936,2.85,1534775700.0
10185,2.65,1534776000.0
9358,2.46,1534776300.0
8519,2.29,1534776600.0
7862,2.16,1534776900.0
7161,1.96,1534777200.0
6459,1.79,1534777500.0
5828,1.61,1534777800.0
5272,1.4,1534778100.0
4669,1.2,1534778400.0
4089,1.1,1534778700.0
3523,0.36,1534779000.0
3006,0.34,1534779300.0
2536,0.32,1534779600.0
2085,0.3,1534779900.0
1671,0.27,1534780200.0
1330,0.24,1534780500.0
1065,0.2,1534780800.0
849,0.18,1534781100.0
638,0.15,1534781400.0
490,0.13,1534781700.0
364,0.9,1534782000.0
218,0.5,1534782300.0
97,0.2,1534782600.0
13,0.0,1534782900.0
0,0.2,1534783200.0
0,0.2,1534783500.0
0,0.3,1534783800.0
0,0.3,1534784100.0
0,0.4,1534784400.0
0,0.4,1534784700.0
0,0.3,1534785000.0
0,0.3,1534785300.0
0,0.3,1534785600.0
0,0.3,1534785900.0
0,0.3,1534786200.0
0,0.3,1534786500.0
0,0.3,1534786800.0
0,0.3,1534787100.0
0,0.3,1534787400.0
0,0.3,1534787700.0
0,0.3,1534788000.0
0,0.3,1534788300.0
0,0.3,1534788600.0
0,0.3,1534788900.0
0,0.3,1534789200.0
0,0.2,1534789500.0
0,0.2,1534789800.0
0,0.2,1534790100.0
0,0.3,1534790400.0
0,0.3,1534790700.0
0,0.2,1534791000.0
0,0.2,1534791300.0
0,0.2,1534791600.0
0,0.1,1534791900.0
0,0.2,1534792200.0
0,0.2,1534792500.0
0,0.2,1534792800.0
0,0.2,1534793100.0
0,0.2,1534793400.0
0,0.1,1534793700.0
0,0.1,1534794000.0
0,0.1,1534794300.0
0,0.2,1534794600.0
0,0.1,1534794900.0
0,0.1,1534795200.0
0,0.1,1534795500.0
0,0.1,1534795800.0
0,0.1,1534796100.0
0,0.1,1534796400.0
0,0.1,1534796700.0
0,0.0,1534797000.0
0,0.0,1534797300.0
0,0.1,1534797600.0
0,0.1,1534797900.0
0,0.1,1534798200.0
0,0.1,1534798500.0
0,0.1,1534798800.0
0,0.1,1534799100.0
0,0.1,1534799400.0
0,0.2,1534799700.0
0,0.1,1534800000.0
0,0.1,1534800300.0
0,0.1,1534800600.0
0,0.2,1534800900.0
0,0.1,1534801200.0
0,0.1,1534801500.0
0,0.1,1534801800.0
0,0.1,1534802100.0
0,0.2,1534802400.0
0,0.1,1534802700.0
0,0.1,1534803000.0
0,0.1,1534803300.0
0,0.1,1534803600.0
0,0.0,1534803900.0
0,0.1,1534804200.0
0,0.0,1534804500.0
0,0.1,1534804800.0
0,0.0,1534805100.0
0,0.1,1534805400.0
0,0.0,1534805700.0
0,0.0,1534806000.0
0,0.1,1534806300.0
0,0.1,1534806600.0
0,0.1,1534806900.0
0,0.1,1534807200.0
0,0.0,1534807500.0
0,0.1,1534807800.0
0,0.0,1534808100.0
0,0.0,1534808400.0
0,0.0,1534808700.0
0,0.0,1534809000.0
0,0.0,1534809300.0
0,0.0,1534809600.0
0,0.0,1534809900.0
0,0.0,1534810200.0
0,0.0,1534810500.0
0,0.0,1534810800.0
0,0.0,1534811100.0
0,0.0,1534811400.0
0,0.0,1534811700.0
0,0.0,1534812000.0
0,0.0,1534812300.0
0,0.0,1534812600.0
0,0.0,1534812900.0
0,0.0,1534813200.0
0,0.0,1534813500.0
0,0.0,1534813800.0
0,0.1,1534814100.0
0,0.1,1534814400.0
0,0.0,1534814700.0
0,0.0,1534815000.0
0,0.1,1534815300.0
0,0.0,1534815600.0
0,0.0,1534815900.0
0,0.0,1534816200.0
0,0.1,1534816500.0
0,0.0,1534816800.0
0,0.0,1534817100.0
0,0.0,1534817400.0
0,0.0,1534817700.0
0,0.0,1534818000.0
0,0.0,1534818300.0
0,0.0,1534818600.0
0,0.0,1534818900.0
0,0.0,1534819200.0
0,0.0,1534819500.0
0,0.0,1534819800.0
0,0.1,1534820100.0
0,0.2,1534820400.0
0,0.3,1534820700.0
0,0.6,1534821000.0
0,0.9,1534821300.0
33,0.13,1534821600.0
269,0.17,1534821900.0
408,0.2,1534822200.0
606,0.24,1534822500.0
896,0.28,1534822800.0
1228,0.31,1534823100.0
1593,0.67,1534823400.0
2012,0.81,1534823700.0
2563,0.96,1534824000.0
3149,1.1,1534824300.0
3715,1.27,1534824600.0
3711,1.42,1534824900.0
4802,1.58,1534825200.0
5608,1.75,1534825500.0
6265,1.92,1534825800.0
6969,2.1,1534826100.0
7681,2.3,1534826400.0
8373,2.48,1534826700.0
9074,2.67,1534827000.0
9783,2.86,1534827300.0
10525,3.4,1534827600.0
11324,3.25,1534827900.0
12090,3.45,1534828200.0
12875,3.65,1534828500.0
13757,3.85,1534828800.0
14605,4.5,1534829100.0
15395,4.27,1534829400.0
16123,4.43,1534829700.0
16928,4.67,1534830000.0
17735,4.86,1534830300.0
18471,5.4,1534830600.0
19142,5.23,1534830900.0
19845,5.39,1534831200.0
20501,5.56,1534831500.0
21191,5.74,1534831800.0
21916,5.94,1534832100.0
22590,6.12,1534832400.0
23211,6.29,1534832700.0
23800,6.49,1534833000.0
24484,6.66,1534833300.0
25066,6.83,1534833600.0
25572,6.99,1534833900.0
26145,7.12,1534834200.0
26648,7.29,1534834500.0
27100,7.4,1534834800.0
27625,7.6,1534835100.0
28149,7.75,1534835400.0
28693,7.86,1534835700.0
29183,8.1,1534836000.0
29807,8.21,1534836300.0
30232,8.29,1534836600.0
30571,8.39,1534836900.0
30843,8.56,1534837200.0
31219,8.65,1534837500.0
31482,8.73,1534837800.0
31845,8.88,1534838100.0
32223,8.94,1534838400.0
32541,9.14,1534838700.0
32825,9.29,1534839000.0
33109,9.32,1534839300.0
33420,9.43,1534839600.0
33764,9.57,1534839900.0
33874,9.64,1534840200.0
34059,9.69,1534840500.0
34187,9.76,1534840800.0
34493,9.84,1534841100.0
34621,9.92,1534841400.0
35003,10.0,1534841700.0
35244,10.15,1534842000.0
35043,10.0,1534842300.0
35057,10.6,1534842600.0
35092,10.1,1534842900.0
35262,10.19,1534843200.0
35506,10.19,1534843500.0
35655,10.23,1534843800.0
35605,10.24,1534844100.0
35673,10.24,1534844400.0
35645,10.23,1534844700.0
35586,10.27,1534845000.0
35734,10.28,1534845300.0
35681,10.22,1534845600.0
35395,10.17,1534845900.0
35383,10.19,1534846200.0
35891,10.37,1534846500.0
35779,10.1,1534846800.0
35203,10.4,1534847100.0
35369,10.13,1534847400.0
35474,9.99,1534847700.0
35166,10.7,1534848000.0
32826,9.63,1534848300.0
23597,5.97,1534848600.0
33769,9.64,1534848900.0
34366,9.63,1534849200.0
34551,9.36,1534849500.0
33033,9.14,1534849800.0
33049,9.1,1534850100.0
32824,8.96,1534850400.0
32454,8.78,1534850700.0
32352,8.8,1534851000.0
32294,8.63,1534851300.0
31613,8.53,1534851600.0
31446,8.47,1534851900.0
30831,8.13,1534852200.0
29953,8.1,1534852500.0
30005,8.8,1534852800.0
29668,7.8,1534853100.0
29529,7.88,1534853400.0
29061,7.67,1534853700.0
28183,7.42,1534854000.0
27312,7.22,1534854300.0
26956,7.12,1534854600.0
26426,7.3,1534854900.0
26072,6.93,1534855200.0
25396,6.82,1534855500.0
25164,6.66,1534855800.0
24435,6.5,1534856100.0
23724,6.3,1534856400.0
23299,6.29,1534856700.0
22740,6.3,1534857000.0
21752,5.8,1534857300.0
21038,5.56,1534857600.0
20179,5.38,1534857900.0
14241,5.18,1534858200.0
17046,4.95,1534858500.0
18184,4.82,1534858800.0
17680,4.64,1534859100.0
17069,4.45,1534859400.0
16453,4.29,1534859700.0
15804,4.11,1534860000.0
15115,3.9,1534860300.0
14392,3.71,1534860600.0
13608,3.47,1534860900.0
12750,3.27,1534861200.0
11884,3.6,1534861500.0
11086,2.83,1534861800.0
10341,2.68,1534862100.0
9713,2.57,1534862400.0
9105,2.42,1534862700.0
8289,2.27,1534863000.0
7662,2.9,1534863300.0
7017,1.91,1534863600.0
6307,1.73,1534863900.0
5631,1.52,1534864200.0
5056,1.34,1534864500.0
4525,1.16,1534864800.0
3915,0.81,1534865100.0
2753,0.43,1534865400.0
1617,0.39,1534865700.0
1748,0.32,1534866000.0
1152,0.28,1534866300.0
993,0.29,1534866600.0
1164,0.29,1534866900.0
1253,0.31,1534867200.0
1132,0.29,1534867500.0
822,0.19,1534867800.0
298,0.8,1534868100.0
47,0.4,1534868400.0
2,0.2,1534868700.0
0,0.1,1534869000.0
0,0.1,1534869300.0
0,0.2,1534869600.0
0,0.2,1534869900.0
0,0.3,1534870200.0
0,0.3,1534870500.0
0,0.4,1534870800.0
0,0.3,1534871100.0
0,0.3,1534871400.0
0,0.3,1534871700.0
0,0.3,1534872000.0
0,0.4,1534872300.0
0,0.3,1534872600.0
0,0.4,1534872900.0
0,0.4,1534873200.0
0,0.4,1534873500.0
0,0.4,1534873800.0
0,0.3,1534874100.0
0,0.3,1534874400.0
0,0.3,1534874700.0
0,0.3,1534875000.0
0,0.3,1534875300.0
0,0.3,1534875600.0
0,0.3,1534875900.0
0,0.2,1534876200.0
0,0.3,1534876500.0
0,0.3,1534876800.0
0,0.2,1534877100.0
0,0.2,1534877400.0
0,0.3,1534877700.0
0,0.2,1534878000.0
0,0.3,1534878300.0
0,0.2,1534878600.0
0,0.2,1534878900.0
0,0.2,1534879200.0
0,0.2,1534879500.0
0,0.2,1534879800.0
0,0.2,1534880100.0
0,0.2,1534880400.0
0,0.2,1534880700.0
0,0.2,1534881000.0
0,0.2,1534881300.0
0,0.1,1534881600.0
0,0.1,1534881900.0
0,0.1,1534882200.0
0,0.3,1534882500.0
0,0.2,1534882800.0
0,0.2,1534883100.0
0,0.1,1534883400.0
0,0.2,1534883700.0
0,0.2,1534884000.0
0,0.1,1534884300.0
0,0.1,1534884600.0
0,0.1,1534884900.0
0,0.1,1534885200.0
0,0.2,1534885500.0
0,0.2,1534885800.0
0,0.1,1534886100.0
0,0.1,1534886400.0
0,0.1,1534886700.0
0,0.1,1534887000.0
0,0.1,1534887300.0
0,0.1,1534887600.0
0,0.1,1534887900.0
0,0.1,1534888200.0
0,0.1,1534888500.0
0,0.1,1534888800.0
0,0.1,1534889100.0
0,0.0,1534889400.0
0,0.1,1534889700.0
0,0.1,1534890000.0
0,0.1,1534890300.0
0,0.1,1534890600.0
0,0.0,1534890900.0
0,0.0,1534891200.0
0,0.0,1534891500.0
0,0.0,1534891800.0
0,0.0,1534892100.0
0,0.1,1534892400.0
0,0.1,1534892700.0
0,0.0,1534893000.0
0,0.0,1534893300.0
0,0.1,1534893600.0
0,0.1,1534893900.0
0,0.1,1534894200.0
0,0.0,1534894500.0
0,0.0,1534894800.0
0,0.1,1534895100.0
0,0.0,1534895400.0
0,0.1,1534895700.0
0,0.0,1534896000.0
0,0.0,1534896300.0
0,0.1,1534896600.0
0,0.0,1534896900.0
0,0.1,1534897200.0
0,0.0,1534897500.0
0,0.0,1534897800.0
0,0.0,1534898100.0
0,0.0,1534898400.0
0,0.1,1534898700.0
0,0.0,1534899000.0
0,0.0,1534899300.0
0,0.1,1534899600.0
0,0.0,1534899900.0
0,0.0,1534900200.0
0,0.0,1534900500.0
0,0.0,1534900800.0
0,0.1,1534901100.0
0,0.1,1534901400.0
0,0.0,1534901700.0
0,0.0,1534902000.0
0,0.0,1534902300.0
0,0.0,1534902600.0
0,0.0,1534902900.0
0,0.0,1534903200.0
0,0.0,1534903500.0
0,0.0,1534903800.0
0,0.1,1534904100.0
0,0.1,1534904400.0
0,0.0,1534904700.0
0,0.0,1534905000.0
0,0.0,1534905300.0
0,0.0,1534905600.0
0,0.0,1534905900.0
0,0.0,1534906200.0
0,0.0,1534906500.0
0,0.1,1534906800.0
0,0.3,1534907100.0
0,0.6,1534907400.0
0,0.8,1534907700.0
1,0.12,1534908000.0
193,0.15,1534908300.0
353,0.19,1534908600.0
521,0.23,1534908900.0
837,0.27,1534909200.0
1180,0.3,1534909500.0
1551,0.55,1534909800.0
1984,0.81,1534910100.0
2544,0.95,1534910400.0
3101,1.9,1534910700.0
3642,1.24,1534911000.0
4252,1.4,1534911300.0
4894,1.56,1534911600.0
5551,1.74,1534911900.0
6179,1.93,1534912200.0
6771,2.11,1534912500.0
7400,2.3,1534912800.0
8140,2.49,1534913100.0
8903,2.67,1534913400.0
9695,2.86,1534913700.0
10489,3.8,1534914000.0
11301,3.26,1534914300.0
12075,3.46,1534914600.0
12903,3.66,1534914900.0
13738,3.86,1534915200.0
14636,4.8,1534915500.0
15444,4.3,1534915800.0
16264,4.48,1534916100.0
17015,4.69,1534916400.0
17789,4.88,1534916700.0
18567,5.9,1534917000.0
19296,5.28,1534917300.0
20018,5.44,1534917600.0
20667,5.63,1534917900.0
21379,5.82,1534918200.0
22093,6.3,1534918500.0
22771,6.17,1534918800.0
23414,6.39,1534919100.0
24038,6.54,1534919400.0
24699,6.72,1534919700.0
25375,6.89,1534920000.0
25972,7.3,1534920300.0
26520,7.2,1534920600.0
27072,7.39,1534920900.0
27594,7.54,1534921200.0
28190,7.73,1534921500.0
28685,7.84,1534921800.0
29145,7.96,1534922100.0
29617,8.8,1534922400.0
30040,8.28,1534922700.0
30526,8.37,1534923000.0
30861,8.5,1534923300.0
31269,8.59,1534923600.0
31560,8.76,1534923900.0
32040,8.87,1534924200.0
32342,9.1,1534924500.0
32534,9.5,1534924800.0
32983,9.17,1534925100.0
33275,9.25,1534925400.0
33434,9.34,1534925700.0
33691,9.48,1534926000.0
33918,9.59,1534926300.0
34228,9.66,1534926600.0
34565,9.81,1534926900.0
34859,9.86,1534927200.0
34883,9.91,1534927500.0
35105,9.99,1534927800.0
35211,10.4,1534928100.0
35373,10.13,1534928400.0
35495,10.16,1534928700.0
35499,10.17,1534929000.0
35517,10.2,1534929300.0
35452,10.2,1534929600.0
35360,10.26,1534929900.0
35650,10.27,1534930200.0
35605,10.28,1534930500.0
35590,10.23,1534930800.0
35647,10.32,1534931100.0
35727,10.2,1534931400.0
35304,10.5,1534931700.0
35409,10.18,1534932000.0
35285,10.11,1534932300.0
35080,10.9,1534932600.0
35055,10.13,1534932900.0
35449,10.12,1534933200.0
35356,10.7,1534933500.0
35469,10.5,1534933800.0
35387,9.98,1534934100.0
34975,9.88,1534934400.0
34731,9.84,1534934700.0
34538,9.73,1534935000.0
34208,9.63,1534935300.0
34019,9.57,1534935600.0
34025,9.48,1534935900.0
33632,9.34,1534936200.0
33079,9.23,1534936500.0
32828,9.13,1534936800.0
32635,8.97,1534937100.0
31854,8.69,1534937400.0
31398,8.68,1534937700.0
31459,8.65,1534938000.0
31493,8.52,1534938300.0
31296,8.47,1534938600.0
30938,8.26,1534938900.0
30352,8.12,1534939200.0
29815,7.98,1534939500.0
29276,7.84,1534939800.0
28818,7.67,1534940100.0
28224,7.58,1534940400.0
27812,7.43,1534940700.0
27411,7.33,1534941000.0
26952,7.19,1534941300.0
26439,7.0,1534941600.0
25875,6.89,1534941900.0
25443,6.78,1534942200.0
24844,6.63,1534942500.0
24308,6.44,1534942800.0
23605,6.3,1534943100.0
22856,6.11,1534943400.0
22287,5.98,1534943700.0
21737,5.82,1534944000.0
20930,5.58,1534944300.0
20199,5.47,1534944600.0
19460,5.16,1534944900.0
18758,5.1,1534945200.0
18144,4.79,1534945500.0
17434,4.53,1534945800.0
16505,4.26,1534946100.0
15775,4.8,1534946400.0
15014,3.89,1534946700.0
14281,3.61,1534947000.0
13451,3.43,1534947300.0
12669,3.21,1534947600.0
11838,2.99,1534947900.0
10883,2.82,1534948200.0
10134,2.64,1534948500.0
9483,2.49,1534948800.0
8753,2.33,1534949100.0
8002,2.18,1534949400.0
7325,2.2,1534949700.0
6607,1.81,1534950000.0
5891,1.64,1534950300.0
5350,1.46,1534950600.0
4793,1.27,1534950900.0
4214,1.9,1534951200.0
3648,0.43,1534951500.0
3150,0.38,1534951800.0
2689,0.33,1534952100.0
2231,0.31,1534952400.0
1786,0.28,1534952700.0
1422,0.25,1534953000.0
1107,0.22,1534953300.0
